Year,Economy,EconomyCode,Region,IncomeGroup,What is the legal age of marriage for girls?,Legal Bases,Are there any exceptions to the legal age of marriage?,Legal Bases,Is marriage under the legal age void or explicitly prohibited?,Legal Bases,Are there penalties for authorizing or entering into child or early marriage?,Legal Bases,Is there legislation that specifically addresses sexual harassment?,Legal Bases,Does the legislation establish clear criminal penalties for domestic violence?,Legal Bases,Is there a specialized court or procedure for cases of domestic violence?,Legal Bases,Can a woman obtain a national identity card in the same way as a married man? ,Legal Bases,Can a married woman legally confer citizenship to her children in the same way as a married man?,Legal Bases,Can an unmarried woman legally confer citizenship to her children in the same way as a married man?,Legal Bases,Can a married woman legally confer her citizenship to a non-national spouse in the same way as a married man?,Legal Bases,Do married couples jointly share legal responsibility for financially maintaining the family’s expenses?,Legal Bases,Does a woman’s testimony carry the same evidentiary weight in court as a man's in all types of cases?,Legal Bases,Is customary law a valid source of law under the constitution?,Legal Bases,"If customary law is a valid source of law under the constitution, is it considered invalid if it violates constitutional provisions on nondiscrimination or equality?",Legal Bases
2019,Cambodia,KHM,East Asia & Pacific,Low income,18,"The Civil Code of Cambodia, Art. 948; Marriage and Family Law of Cambodia, Arts. 4-5",Yes,"The Civil Code of Cambodia, Arts. 948 and 953; Marriage and Family Law of Cambodia, Arts. 5 and 22",Yes,"The Civil Code of Cambodia, Art. 961",No,No applicable provisions could be located,Yes,"Criminal Code, Art. 250; Labor Law, Art.172",Yes,"Law on the Prevention of Domestic Violence and the Protection of Victims, Arts. 19 and 35; Criminal Code, Art. 222",Yes,"Law on the Prevention of Domestic Violence and the Protection of Victims, Arts. 25 and 28-30",Yes,"Sub-Decree National Identity Cards No. 60, Art. 5",Yes,"Law on Nationality, Art. 4(1)",Yes,"Law on Nationality, Art. 4(1)",Yes,"Law on Nationality, Art. 5",Yes,"Law on Marriage and Family, Art.35; Civil Code, Art.975",Yes,No restrictions could be located,No,Constitution of the Kingdom of Cambodia,N/A,
2019,Cameroon,CMR,Sub-Saharan Africa,Lower middle income,21,"Ordonnance No. 81/002 du 29 Juin 1981, Art. 64(2) ; Code Civil, Art. 488",Yes,"Ordonnance No. 81/002 du 29 Juin 1981, Arts. 52 and 64(2)",No,No applicable provisions could be located,Yes,"Code Penal, Art. 356(3)",Yes,"Loi N° 2016/007 du 12 juillet 2016 portant Code Pénal, Art. 302-1",No,No applicable provisions could be located,No,No applicable provisions could be located,No,"Décret No. 2016/375 du 4 Aout 2016, Art. 6(a); ID card application procedures",Yes,"Loi No. 1968-LF-3 du 11 Juin 1968, Portant Code de la Nationalité Camerounaise, Art. 7",Yes,"Loi No. 1968-LF-3 du 11 Juin 1968, Portant Code de la Nationalité Camerounaise, Art. 7",No,"Loi No. 1968-LF-3 du 11 Juin 1968, Portant Code de la Nationalité Camerounaise, Arts. 17 and 26",Yes,"Code Civil, Art. 214; Ordonnance No. 81/02 du 29 Juin 1981 Portant Organisation de l'Etat Civil et Diverses Dispositions Relatives à l'Etat des Personnes Physiques, Art. 75",Yes,No restrictions could be located,No,Constitution de la République du Cameroun,N/A,
2019,Canada,CAN,High income: OECD,High income,18,"Marriage Act, Sec. 5(1); The Age of Majority Act, Sec. 2",Yes,"Marriage Act, Sec. 5 and 6",No,No applicable provisions could be located,Yes,"Criminal Code, Sec. 293.2 and 295",Yes,"Canadian Human Rights Act, Sec. 14(1) and (2); Ontario Human Rights Code, Sec. 7(2) and (3)",Yes,"Criminal Code, Arts. 278 and 718.2(a)(ii)",Yes,Implementing the Domestic Violence Court Program - Ontario Ministry of the Attorney General,N/A,No applicable provisions could be located,Yes,"Citizenship Act, Art. 3",Yes,"Citizenship Act, Art. 3",Yes,"Citizenship Act, Art. 5; Immigration and Refugee Protection Act, Arts. 12-14",Yes,"Family Law Act, Art. 5(7)",Yes,No restrictions could be located,No,"Constitution Act, 1982 ",N/A,No applicable provisions could be located
2019,Central African Republic,CAF,Sub-Saharan Africa,Low income,18,"Loi No. 97.013 portant Code de la Famille, Arts. 209 et 211",Yes,"Loi No. 97.013 portant Code de la Famille, Arts. 209 et 211",Yes,"Loi No. 97.013 portant Code de la Famille, Art. 238(2)",No,No applicable provisions could be located,Yes,"Loi No. 06.032 du 27 Décembre 2006, portant Protection de la Femme contre la Violence, Arts. 5 et 25",Yes,"Loi No. 06.032 du 27 Décembre 2006, portant Protection de la Femme contre la Violence, Arts. 1 et 27",No,No applicable provisions could be located,Yes,ID card sample,Yes,"Loi No. 1961.212 Portant Code de la Nationalité Centrafricaine, Arts. 6 et 8",Yes,"Loi No. 1961.212 Portant Code de la Nationalité Centrafricaine, Arts. 6 et 8",No,"Loi No. 1961.212 Portant Code de la Nationalité Centrafricaine, Art. 13",Yes,"Loi No. 97.013 Portant Code de la Famille, Art. 253",Yes,No restrictions could be located,No,Constitution de la République Centrafricaine de 2015,N/A,No applicable provisions could be located
2019,Chad,TCD,Sub-Saharan Africa,Low income,21,"Code Civil, Arts. 158 et 159",Yes,"Code Civil, Arts. 148, 158 and 159; Décret 029/PR/2015 du 21 juillet 2015 ratifiant l'Ordonnance No. 006/PR/2015 Portant Interdiction du Marriage d'Enfants, Arts. 1-3",Yes,"Ordonnace n°006/PR/2015 du 14 mars 2015 portant interdiction du mariage d'enfants, Art. 1",Yes,"Ordonnace n°006/PR/2015 du 14 mars 2015 portant interdiction du mariage d'enfants, Arts. 4 et 5",Yes,"Loi N° 001/PR/2017 Portant Code Pénal, Art. 341",Yes,"Loi N° 001/PR/2017 Portant Code Pénal, Art. 342",No,No applicable provisions could be located,Yes,ID card application procedures ,Yes,"Code de la Nationalité Tchadienne, Art. 9",Yes,"Code de la Nationalité Tchadienne, Art. 9",Yes,"Code de la Nationalité Tchadienne, Art.17",Yes,"Code Civil, Art. 214",Yes,No restrictions could be located,Yes,"Constitution de la République du Tchad, Arts. 157-159 et Titre XIII",Yes,"Constitution de la République du Tchad du 04 mai 2018, Art. 161"
2019,Chile,CHL,Latin America & Caribbean,High income,18,"Código Civl, Art. 106",Yes,"Código Civil, Arts. 107 y 109-112; Ley de Matrimonio Civil No. 19.947, Art. 5(3)",Yes,"Ley de Matrimonio Civil No. 19.947, Arts. 44(a), 46(a) y 48(a)",Yes,"Código Penal, Art. 388",Yes,"Ley 20.005 Tipifica y Sanciona el Acoso Sexual;Código del Trabajo, Arts. 2 y 211-A - 211-E",No,No applicable provisions could be located,Yes,"Ley de Violencia Intrafamiliar No. 20.066, Arts. 6, 13 y 16;Ley No. 19.968 crea los Tribunales de Familia, Arts. 13 y 81-101",Yes,ID card application procedures ,Yes,"Constitución Política de la República de Chile, Art. 1; ",Yes,"Constitución Política de la República de Chile, Art. 1; ",Yes,"Constitución Política de la República de Chile, Art. 1; Decreto No. 5142, Art. 2",Yes,"Código Civil, Art. 134",Yes,No restrictions could be located,No,Constitución Política de la República de Chile,N/A,Constitución Política de la República de Chile
2019,China,CHN,East Asia & Pacific,Upper middle income,20,"Marriage Law of the People's Republic of China, Art. 6",No,No applicable provisions could be located,Yes,"Marriage Law of the People's Republic of China, Arts. 10(4) and 12",No,No applicable provisions could be located,Yes,"Law of the People's Republic of China on the Protection of Women's Rights and Interests, Arts. 40 and 58; Special Provisions on Labor Protection of Female Employees, Art. 11",Yes,"Anti-Domestic Violence Law of the People's Republic of China, Art. 33; Criminal Law of the People's Republic of China, Art. 260;  Marriage Law of the People's Republic of China, Art. 45",No,No applicable provisions could be located,Yes,"Regulations of the People's Republic of China Concerning Resident Identity Cards, Art. 3; ID card application procedures",Yes,"Nationality Law of the People's Republic of China, Arts. 4 and 5",Yes,"Nationality Law of the People's Republic of China, Arts. 4 and 5",Yes,"Nationality Law of the People's Republic of China, Art. 7",Yes,No applicable provisions could be located,Yes,No restrictions could be located,No,Constitution of the People's Republic of China,N/A,
2019,Colombia,COL,Latin America & Caribbean,Upper middle income,18,"Código Civil, Art. 116",Yes,"Código Civil, Arts. 117, 140",Yes,"Código Civil, Art. 140(2o)",No,No applicable provisions could be located,Yes,"Ley 599 de 2000, Art. 210A; Ley 1257 del 2008, Art. 29",Yes,"Ley 599 de 2000, Arts. 119, 211(5) y 229",Yes,"Ley 294 de 1996, Título III;Decreto 2734 de 2012",Yes,"ID card application procedures Decreto 126 de 197, Arts. 19 y 117",Yes,"Constitución Política de Colombia, Art. 96(1); Ley No. 43 de 1993, Art. 1(1)",Yes,"Constitución Política de Colombia, Art. 96(1); Ley No. 43 de 1993, Art. 1(1)",Yes,"Ley No. 43 de 1993, Art. 5; ",Yes,"Código Civil, Arts.176 y 177",Yes,No restrictions could be located,No,Constitución Política de Colombia,N/A,Constitución Política de Colombia
2019,Comoros,COM,Sub-Saharan Africa,Low income,..,"Code de la Famille, Arts. 14 et 21-23",Yes,"Code de la Famille, Art. 15",No,No applicable provisions could be located,Yes,"Code Pénal, Art. 172",Yes,"Code du Travail, Art. 2.2",Yes,"Loi N° 14-036/AU, Arts. 29-31",No,No applicable provisions could be located,Yes,"Loi Instituant une Carte Nationale d’Identité, Art. 2; ID card application procedures",Yes,"Code de la Nationalité, Arts. 1 et 11",Yes,"Code de la Nationalité, Arts. 1 et 11",No,"Code de la Nationalité, Arts. 15 et 3(1)",No,"Code de la Familie, Art. 54",Yes,No restrictions could be located,No,La Constitution Comorienne,N/A,No applicable provisions could be located
2019,"Congo, Dem. Rep.",ZAR,Sub-Saharan Africa,Low income,18,"Loi n° 09/001 du 10 janvier 2009 portant protection de l'enfant, Arts. 2 et 48; Loi No. 16/008 du 15 Juillet 2016 Modifiant et Complétant la Loi No. 87-010 du 1er Aout 1987 Portant Code de la Famille, Art. 352",No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"Loi No. 16/008 du 15 Juillet 2016 Modifiant et Complétant la Loi No. 87-010 du 1er Aout 1987 Portant Code de la Famille, Arts. 420, 422, 423 et 425",Yes,"Loi n°06/018, Art. 3 (174d); Code du Travail, Arts. 73 et 74",No,No applicable provisions could be located,No,No applicable provisions could be located,N/A,No applicable provisions could be located,Yes,"Loi No. 4/24 du 12 Novembre 24 Relative à la Nationalité Congolaise, Art. 7",Yes,"Loi No. 4/24 du 12 Novembre 24 Relative à la Nationalité Congolaise, Art. 7",Yes,"Loi No. 4/24 du 12 Novembre 24 Relative à la Nationalité Congolaise, Art. 19 ",Yes,"Loi N°16/008 du 15 Juillet 2016 Modifiant et Complétant la Loi Portant Code de la Famille, Art. 1er (Modifiant Art. 445)",Yes,No restrictions could be located,Yes,"Constitution de la République Démocratique du Congo, Arts. 153 et 207",Yes,"Constitution de la République Démocratique du Congo, Art. 207"
2019,"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,18,"Code de la Famille, Art. 128 ",Yes,"Code de la Famille, Arts. 128 and 130-133",Yes,"Code de la Famille, Art. 156(3)",No,No applicable provisions could be located,No,No applicable provisions could be located,No,No applicable provisions could be located,No,No applicable provisions could be located,No,"Décret No. 27-27 du 2 Avril 2007, Arts. 1(7) et 8; ID card application procedures",Yes,"Code de la Nationalité Congolaise, Arts. 7-9",Yes,"Code de la Nationalité Congolaise, Arts. 7-9",No,"Code de la Nationalité Congolaise, Arts. 18 et 19",Yes,"Code de la Famille, Arts. 167 et 169",Yes,No restrictions could be located,No,Constitution de la République du Congo,N/A,
2019,Costa Rica,CRI,Latin America & Caribbean,Upper middle income,18,"Código de Familia, Art. 14(7)",No,No applicable provisions could be located,Yes,"Código de Familia, Arts. 14(7) and 64",Yes,"Código Penal, Arts. 176 and 179",Yes,Ley contra el Hostigamiento Sexual en el Empleo y la Docencia No. 7476,Yes,"Ley de Penalización de la Violencia contra las Mujeres No. 8589, Cap. II",Yes,"Ley contra la Violencia Doméstica No. 7586, Cap. III; Creación de un Juzgado de Violencia Doméstica en el Segundo Circuito Judicial de San José Ley No. 8128",Yes,"Ley No. 3504 Orgánica del Tribunal Supremo de Elecciones y del Registro Civil, Art. 89; ID card application procedures",Yes,"Constitución Política de la Republica de Costa Rica, Art. 13; Ley No. 1155 de Opciones y Naturalizaciones, Art. 1",Yes,"Constitución Política de la Republica de Costa Rica, Art. 13; Ley No. 1155 de Opciones y Naturalizaciones, Art. 1",Yes,"Constitución Política de la Republica de Costa Rica, Art. 14(5)",Yes,"Código de Familia, Art. 35",Yes,No restrictions could be located,No,Constitución Política de la Republica de Costa Rica,N/A,
2019,Côte d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,18,"Loi N° 2019-570 du 26 juin 2019 relative au mariage, Art. 2",No,No applicable provisions could be located,Yes,"Loi N° 2019-570 du 26 juin 2019 relative au mariage, Art. 26",No,No applicable provisions could be located,Yes,"Code Pénal, Art. 356, Loi No. 2015532 du 20 Juillet 2015 portant Code du travail, Art. 5",No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"Loi No. 24-33 du 3 Mai 24 Relative a l’Identification des Personnes et au Séjour des Etrangers en Côte d’Ivoire, Art. 3; ID card application procedures",Yes,"Code de la Nationalité, comme modifié en 2005, Arts. 6 and 7",Yes,"Code de la Nationalité, comme modifié en 2005, Arts. 6 and 7",Yes,"Code de la Nationalité, comme modifié en 2005, Art. 12",Yes,"Loi n°2019-570 du 26 juin 2019 sur le mariage, Art. 59",Yes,No restrictions could be located,Yes,"Constitution de la République de Côte d'Ivoire, 2016, Arts. 101 et 175",Yes,"Constitution de la République de Côte d'Ivoire, Art. 101"
2019,Croatia,HRV,Europe & Central Asia,High income,18,"Family Law, Art. 25(1)",Yes,"Family Law, Art. 25(2)",Yes,"Family Law, Art. 29",Yes,"Criminal Code, Art. 168",Yes,"Criminal Code, Art. 156; Anti-Discrimination Act, Art. 3 ; Law on Protection Against Domestic Violence, Art.10 (4) ; Gender Equality Act, Art.8 ; Labor Act, Art. 134.   ",Yes,"Law on Protection Against Domestic Violence, Art. 22 ; Criminal Code, Art. 179a",Yes,"Law on Protection Against Domestic Violence, Arts. 4-5 and 11-19 ; Rules of Procedure in Cases of Domestic Violence ",Yes,"Law on Identity Cards, Art. 3; ID card application procedures",Yes,"Citizenship Act, Art. 4",Yes,"Citizenship Act, Art. 4",Yes,"Citizenship Act, Art. 10",Yes,"Family act, Art. 44",Yes,No restrictions could be located,No,Constitution of the Republic of Croatia,N/A,
2019,Cyprus,CYP,Europe & Central Asia,High income,18," Marriage Law of 2003, Sec. 14(3)(a)",Yes,"Marriage Law of 2003, Sec. 15(1)",Yes," Marriage Law of 2003, Sec. 22(1) (a)",Yes,"Marriage Law of 2003, Sec. 33",Yes,"Equal Treatment of Men and Women in Employment and Vocational Training Law, Arts. 2 and 12",Yes,"Domestic Violence (Prevention and Protection of Victims) Law of 2000, Secs. 3(4) and 4",Yes,"Domestic Violence (Prevention and Protection of Victims) Law of 2000, Parts. IV-VI",Yes,"Civil Registry Law 141(I)/2002, Arts. 59 and 61; ID card application form and procedures",Yes,"Civil Registry Law 141(I)/22, Art. 19 ",Yes,"Civil Registry Law 141(I)/22, Art. 19 ",Yes,"Civil Registry Law 141(I)/22, Art. 11(2)",Yes,"Law Regulating Property Relations of Spouses 232/1991, Art. 3 ",Yes,No restrictions could be located,No,The Constitution of the Republic of Cyprus,N/A,
2019,Czech Republic,CZE,High income: OECD,High income,18,"Civil Code, Act No. 89/2012, Secs. 30(1) and 672(1)",Yes,"Civil Code, Act No. 89/2012, Sec. 672(2)",Yes,"Civil Code, Act No. 89/2012, Sec. 680",No,No applicable provisions could be located,Yes,"Anti-Discrimination Act No. 198/2009, Secs. 2 and 4; Labor Code, Act No. 262/2006, Sec. 16(2)",Yes,"Penal Code, Act No. 40/2009, Sec. 199",Yes,"Domestic Violence Act No. 135/2006; Special Court Proceedings Act No 292/2013, Secs. 400-414",Yes,ID card application procedures; ID card forms,Yes,"Act on Citizenship of the Czech Republic, Sec. 4",Yes,"Act on Citizenship of the Czech Republic, Sec. 4",Yes,"Act on Citizenship of the Czech Republic, Sec. 15",Yes,"Civil Code, Art. 713",Yes,No restrictions could be located,No,Constitution of the Czech Republic,N/A,No applicable provisions could be located
2019,Denmark,DNK,High income: OECD,High income,18,"Guidance Note No. 9045 of 01/24/2017 on the Treatment of Matrimonial Matters, Sec. 2.2",No,No applicable provisions could be located,Yes,"Order No. 9045 of 01/24/2017 on the Treatment of Matrimonial Matters, Ch. 7",No,No applicable provisions could be located,Yes,"Act on Equality Between Women and Men, Ch.2, Sec. 2a; Consolidation Act on Equal Treatment of Men and Women in Employment, Sec. 1 (4),(5) and (6)",Yes,"Criminal Code, Secs. 213 and 244     ",Yes,"Act No. 112 of February 3, 2012; Public Prosecutions Announcement No. 3/2008, Sec. 7",Yes,Act on the Issuance of Identification Cards of 2017; Executive Order on the Issuance of Identification Cards,Yes,"Consolidated Act of Danish Nationality, Art. 1",Yes,"Consolidated Act of Danish Nationality, Art. 1",Yes,"Circular Letter No. 61 of 22 September 2008, Art. 8",Yes,"Act on the Legal Effects of Marriage, Art. 2",Yes,No restrictions could be located,No,Constitution of Denmark,N/A,
2019,Djibouti,DJI,Middle East & North Africa,Lower middle income,..,"Code de la Famille, Arts. 7, 13, 14 and 169",Yes,"Code de la Famille, Arts. 14 and 16",Yes,"Code de la Famille, Art. 29",Yes,"Code Pénal, Art. R.5(3)",Yes,"Loi n° 221/AN/17/8ème L du 25 juin 2018 modifiant et complétant la loi n°133/AN/05/5ème L du 28 janvier 2006 portant Code du travail, Art. 4 ter",Yes,"Code Pénal, Arts. 325(4), 329, 332, 335 and 336",No,No applicable provisions could be located,Yes,"Décret No. 215-345/PR/MI Portant Modification du Décret No. 213-356/PR/MI Relatif au Changement de la Carte Nationale d’Identité, Art. 1; ID card application procedures",Yes,"Loi No. 79/AN/4/5ème Portant Code de la Nationalité Djiboutienne, Art. 5",Yes,"Loi No. 79/AN/4/5ème Portant Code de la Nationalité Djiboutienne, Art. 5",Yes,"Loi No. 79/AN/4/5ème Portant Code de la Nationalité Djiboutienne, Art. 5",No,"Code de la Famille, Arts. 31 et 46; Code Civil, institué par la Loi n°003/AN/18/8ème L du 12 Avril 2019, Arts. 222 et suivants",Yes,No restrictions could be located,Yes,"La Constitution de la République de Djibouti, comme modifiée, Art. 96",Yes,"La Constitution de la République de Djibouti, comme modifiée, Art. 96"
2019,Dominica,DMA,Latin America & Caribbean,Upper middle income,18,"Marriage Act, Sec. 30(2)",Yes,"Marriage Act, Sec. 29(2) and 30(1)",Yes,"Marriage Act, Sec. 29(2)",Yes,"Marriage Act, Sec. 64",No,No applicable provisions could be located,Yes,"Protection against Domestic Violence Act (No. 22 of 2001), Sec. 32(1)",Yes,"Protection against Domestic Violence Act (No. 22 of 2001), Part VII and Sec. 35-39",N/A,No applicable provisions could be located ,Yes,"The Constitution of the Commonwealth of Dominica, Secs. 98 and 99",Yes,"The Constitution of the Commonwealth of Dominica, Secs. 98 and 99",Yes,"Commonwealth of Dominica Citizenship Act, Sec. 6(1)(a)",Yes,No applicable provisions could be located,Yes,No restrictions could be located,No,Constitution of the Commonwealth of Dominica,N/A,No applicable provisions could be located
2019,Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,18,"Ley No. 4999, Art. 4(1)",Yes,"Ley No. 4999, Art. 4",Yes,"Ley No. 659, Art. 61(4), (6) y (12)",Yes,"Ley No. 659, Art. 56(7); Código Penal, Art. 193",Yes,"Código Penal, Art. 333-2; Código de Trabajo, Art. 47(9)",Yes,"Ley 24-97, Arts. 3(309-2 y 309-3) y 8(332)",Yes,"Ley 24-97, Art. 3(309-4 y 309-5)",Yes,"Ley No. 8-92, Art. 5; ID card application procedures",Yes,"Constitución de la República Dominicana, Art. 18(1)",Yes,"Constitución de la República Dominicana, Art. 18(1)",Yes,"Constitución de la República Dominicana, Arts. 18(5) y 21",Yes,"Código Civil, Arts. 203 y 213",Yes,No restrictions could be located,No,Constitución de la República Dominicana,N/A,No applicable provisions could be located
2019,Ecuador,ECU,Latin America & Caribbean,Upper middle income,18,"Código Civil, Art. 83",No,No applicable provisions could be located,Yes,"Código Civil, Arts. 83 and 95(2)",No,No applicable provisions could be located,Yes,"Código Orgánico Integral Penal, Art. 166",Yes,"Código Orgánico Integral Penal, Arts. 156-159",Yes,"Código Orgánico Integral Penal, Art. 643; Código Orgánico de la Función Judicial, Art. 232",Yes,"Ley Orgánica de Gestión de la Identidad y Datos Civiles, Art. 93; ID card application procedures",Yes,"Constitución de la República del Ecuador, Art. 7",Yes,"Constitución de la República del Ecuador, Art. 7",Yes,"Constitución de la República del Ecuador, Art. 8(4); Ley Orgánica de la Movilidad Humana, Art. 73",Yes,"Código Civil, Arts. 136 y 138",Yes,No restrictions could be located,No,Constitución de la República del Ecuador,N/A,
2019,"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,18,Law No. 126 of 2008 Amending the Civil Status law (No. 143 of 1994) Art. 5 (31 bis),No,No applicable provisions could be located ,Yes ,"Law No. 126 of 2008 Amending the Civil Status law (No. 143 of 1994), Art. 5 (31 bis)",Yes ,"Law No. 126 of 2008 Amending the Civil Status law (No. 143 of 1994) Art. 5 (31 bis); Penal Code, Art. 227",Yes,"Law No. 50 of 2014 Amending Penal Code, Arts. 1(306 bis a) and 2(306 bis b)",Yes,Law No. 6 of 1998 amending Egyptian penal code (Law No. 58 of 1937) Arts. 375 bis and 375 bis (1) ,No,No applicable provisions could be located,No,"ID card application form Executive Regulations of the Civil Affairs Law No. 1121 of 1995, Art. 33",Yes,"Law No. 26 of 1975, as amended by Law No. 154 of 24 Concerning Egyptian Nationality, Art. 2",Yes,"Law No. 26 of 1975, as amended by Law No. 154 of 24 Concerning Egyptian Nationality, Art. 2",No,"Law No. 26 of 1975, as amended by Law No. 154 of 24 Concerning Egyptian Nationality, Art. 7",No,"Personal Status Law No. 25 of 1929, Arts. 1 and 4, as amended by Law No. 100 of 1985",Yes,No restrictions could be located,No,"Constitution of the Arab Republic of Egypt, 2014",N/A,
2019,El Salvador,SLV,Latin America & Caribbean,Lower middle income,18,"Código de Família, Art. 14",Yes,"Código de Família, Arts. 14 y 18",Yes,"Código de Família, Art. 90(4a)",No,No applicable provisions could be located,Yes,"Código Penal, Art. 165; Ley General de Prevención de Riesgos en los Lugares de Trabajo, Art. 7",Yes,"Código Penal, Arts. 31, 129(1), 162(1) y (7), y 200; Ley Especial Integral para una Vida Libre de Violencia para las Mujeres, Arts. 46(c), 53 y 54",Yes,"Ley Contra la Violencia Intrafamiliar, Cap. III; Ley Especial Integral para una Vida Libre de Violencia para las Mujeres, Cap. II",Yes,"Decreto No. 581, Arts. 3 y 4; ID card application procedures",Yes,"Constitución de la República de El Salvador, Arts. 9 y 91",Yes,"Constitución de la República de El Salvador, Arts. 9 y 91",Yes,"Constitución de la República de El Salvador, Art. 92(4)",Yes,"Código de la Familia, Arts. 36, 38 y 39",Yes,No restrictions could be located,No,Constitución de la República de El Salvador,N/A,No applicable provisions could be located
2019,Equatorial Guinea,GNQ,Sub-Saharan Africa,High income,23,"Código Civil, Arts. 45(1) y 320",Yes,"Código Civil, Art. 48",Yes,"Código Civil, Art. 83(1) y 101(1)",Yes,"Código Penal, Art. 478",No,No applicable provisions could be located,No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,ID card application form ,Yes,"Ley No. 3/2011, Art. 3",Yes,"Ley No. 3/2011, Art. 3",Yes,"Ley No. 3/2011, Arts. 5 y 6",Yes,No applicable provisions could be located,Yes,No restrictions could be located,No,Ley Fundamental de Guinea Ecuatorial,N/A,No applicable provisions could be located
2019,Eritrea,ERI,Sub-Saharan Africa,Low income,18,"Constitution of Eritrea article 22(2) ; Transitional Civil Code, Art. 46(2)",No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"Transitional Civil Code, Ch. 4",Yes,"Eritrean Transitional Penal Code, Art. 593",No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,ID card application form ,Yes,"Eritrean Nationality Proclamation No. 21/1992, Art. 2",Yes,"Eritrean Nationality Proclamation No. 21/1992, Art. 2",Yes,"Eritrean Nationality Proclamation, No. 21/1992, Art. 6",Yes,"Transitional Civil Code, art. 45 ; Ethiopian Civil Code of 1960 art. 661",Yes,No restrictions could be located,..,No constitution in force,N/A,
2019,Estonia,EST,High income: OECD,High income,18,"Family Act, Sec. 1(2); Civil Code, Sec. 8(2)",Yes,"Family Act, Sec. 1(3,4)",Yes,"Family Act, Sec. 9(1)(1)",No,No applicable provisions could be located,Yes,"Gender Equality Act, Sec. 3(1)(3 and 5)",Yes,"Penal Code, Arts. 58(4) and 121 (2)(2)",No,No applicable provision could be located,Yes,"Identity Documents Act, Art. 19; ID card application form",Yes,"Citizenship Act, Art. 5",Yes,"Citizenship Act, Art. 5",Yes,"Citizenship Act, Art. 6",Yes,"Family Law Act, Art. 16",Yes,No restrictions could be located,No,Constitution of the Republic of Estonia,N/A,
2019,Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,21,"Marriage Act, 1964, Sec. 3(2)",Yes,"Marriage Act, 1964, Sec. 3",No,No applicable provisions could be located,Yes,"Marriage Act, 1964, Sec. 23",Yes,"Sexual Offences and Domestic Violence Act, 2018, Sec. 48",Yes,"Sexual Offences and Domestic Violence Act, 2018, Sec. 77 (1)",Yes,"Sexual Offences and Domestic Violence Act, 2018, Sec. 126",Yes,ID card application procedures ; Identification Order of 1998,No,"Constitution of the Kingdom of Swaziland, Art. 43(1) - (5)",No,"Constitution of the Kingdom of Swaziland, Art. 43(1) - (5)",No,"Constitution of the Kingdom of Swaziland, Art. 44",Yes,No applicable provisions could be located,Yes,No applicable provisions could be located,Yes,"Constitution of the Kingdom of Swaziland, Art. 252(2)",Yes,"Constitution of the Kingdom of Swaziland, Arts. 2(1) and 252(3)"
2019,Ethiopia,ETH,Sub-Saharan Africa,Low income,18,"Revised Family Code, Art. 7(1)     ",Yes,"Revised Family Code, Art. 7(2)     ",Yes,"The Revised Family Code, Art. 31(1)     ",Yes,"Criminal Code, Art. 648     ",Yes,"Criminal Code, Arts. 625 and 846 ; Labor Proclamation No.1156/2019 art. 14(1)",Yes,"Criminal Code, Art.564",Yes,Victim- friendly benches in the federal courts and also at regional level     ,N/A,No applicable provisions could be located ,Yes,"Ethiopian Nationality Proclamation No. 378/23, Art. 3(1)",Yes,"Ethiopian Nationality Proclamation No. 378/23, Art. 3(1)",Yes,"Ethiopian Nationality Proclamation No. 378/23, Art. 6",Yes,"The Revised Family Code, art. 50",Yes,No restrictions could be located,Yes,"Constitution of the Federal Republic of Ethiopia, Arts. 34 and 78",Yes,"Constitution of the Federal Democratic Republic of Ethiopia, art. 9(1)"
2019,Fiji,FJI,East Asia & Pacific,Upper middle income,18,"Marriage Act (Amendment) Decree 2009, Part 2, Secs. 2 and 3(12)",No,No applicable provisions could be located,Yes,"Family Law Act 2003, Div. 2, Sec. 32(e); Marriage Act Amendment Decree 2009, Part 2, Sec. 3(12)",Yes,"Marriage Act (Amendment) Decree 2009, Part 2, Sec. 9(29)",Yes,"Crimes Decree 2009, Sec. 213; Human Rights Commission Decree 2009, Part 3, Art. 19(2)",No,No applicable provisions could be located,Yes,"Domestic Violence Decree 2009, Part 1, Secs. 8-10 and Part 5",N/A,No applicable provisions could be located ,Yes,"Citizenship of Fiji Act of 2009, Secs. 6 and 8",Yes,"Citizenship of Fiji Act of 2009, Secs. 6 and 8",Yes,"Citizenship of Fiji Act, 2009, Sec. 8(7-9)",Yes,No applicable provisions could be located,Yes,No restrictions could be located,No,No applicable provisions could be located,N/A,
