Year,Economy,EconomyCode,Region,IncomeGroup,What is the legal age of marriage for girls?,Are there any exceptions to the legal age of marriage?,Is marriage under the legal age void or explicitly prohibited?,Are there penalties for authorizing or entering into child or early marriage?,Is there legislation that specifically addresses sexual harassment?,Does the legislation establish clear criminal penalties for domestic violence?,Is there a specialized court or procedure for cases of domestic violence?,Can a woman obtain a national identity card in the same way as a married man? ,Can a married woman legally confer citizenship to her children in the same way as a married man?,Can an unmarried woman legally confer citizenship to her children in the same way as a married man?,Can a married woman legally confer her citizenship to a non-national spouse in the same way as a married man?,Do married couples jointly share legal responsibility for financially maintaining the family’s expenses?,Does a woman’s testimony carry the same evidentiary weight in court as a man's in all types of cases?,Is customary law a valid source of law under the constitution?,"If customary law is a valid source of law under the constitution, is it considered invalid if it violates constitutional provisions on nondiscrimination or equality?"
2017,Switzerland,CHE,High income: OECD,High income,18,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Syrian Arab Republic,SYR,Middle East & North Africa,Lower middle income,..,Yes,No,No,Yes,No,No,Yes ,No,No,No,No,No,No,N/A
2017,"Taiwan, China",TWN,East Asia & Pacific,High income,20,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Tajikistan,TJK,Europe & Central Asia,Low income,18,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Tanzania,TZA,Sub-Saharan Africa,Low income,18,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,N/A
2017,Thailand,THA,East Asia & Pacific,Upper middle income,20,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,N/A
2017,Timor-Leste,TMP,East Asia & Pacific,Lower middle income,17,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2017,Togo,TGO,Sub-Saharan Africa,Low income,18,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
2017,Tonga,TON,East Asia & Pacific,Upper middle income,18,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Trinidad and Tobago,TTO,Latin America & Caribbean,High income,18,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Tunisia,TUN,Middle East & North Africa,Upper middle income,18,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Turkey,TUR,Europe & Central Asia,Upper middle income,18,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Uganda,UGA,Sub-Saharan Africa,Low income,21,Yes,No,Yes,Yes,Yes,Yes,Yes ,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2017,Ukraine,UKR,Europe & Central Asia,Lower middle income,18,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,United Arab Emirates,ARE,Middle East & North Africa,High income,..,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,N/A
2017,United Kingdom,GBR,High income: OECD,High income,18,Yes,Yes,No,Yes,No,Yes,N/A,Yes,Yes,Yes,Yes,Yes,..,..
2017,United States,USA,High income: OECD,High income,18,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Uruguay,URY,Latin America & Caribbean,High income,18,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Uzbekistan,UZB,Europe & Central Asia,Lower middle income,17,Yes,Yes,Yes,No,No,No,N/A,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Vanuatu,VUT,East Asia & Pacific,Lower middle income,21,Yes,No,Yes,No,Yes,Yes,N/A,Yes,Yes,Yes,No,Yes,Yes,No
2017,"Venezuela, RB",VEN,Latin America & Caribbean,Upper middle income,18,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Vietnam,VNM,East Asia & Pacific,Lower middle income,18,No,Yes,Yes,Yes,Yes,Yes,Yes ,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,West Bank and Gaza,WBG,Middle East & North Africa,Lower middle income,..,Yes,Yes,No,Yes,No,No,Yes ,No,No,No,No,No,No,N/A
2017,"Yemen, Rep.",YEM,Middle East & North Africa,Lower middle income,..,Yes,No,No,Yes,No,No,Yes ,Yes,Yes,No,No,No,No,N/A
2017,Zambia,ZMB,Sub-Saharan Africa,Lower middle income,21,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
